ds,city,region_id,predicted_demand
2024-11-01,Chongqing,10,130.01865375379683
2024-11-01,Chongqing,103,203.98184785529637
2024-11-01,Chongqing,104,264.4445212609618
2024-11-01,Chongqing,105,368.12427619244346
2024-11-01,Chongqing,106,74.6828772863076
2024-11-01,Chongqing,107,341.4282345468181
2024-11-01,Chongqing,109,190.15045459374966
2024-11-01,Chongqing,11,73.06606456682569
2024-11-01,Chongqing,110,392.81383120992746
2024-11-01,Chongqing,112,256.33892524443974
2024-11-01,Chongqing,116,89.27152391561047
2024-11-01,Chongqing,123,524.645236041714
2024-11-01,Chongqing,125,156.21545644715033
2024-11-01,Chongqing,127,285.65933060849267
2024-11-01,Chongqing,130,211.1093066831913
2024-11-01,Chongqing,131,300.0291946079661
2024-11-01,Chongqing,132,359.4475379741415
2024-11-01,Chongqing,133,403.3945250626409
2024-11-01,Chongqing,134,63.03163227268462
2024-11-01,Chongqing,135,125.35015476968164
2024-11-01,Chongqing,136,106.02055678938467
2024-11-01,Chongqing,138,144.72841442598974
2024-11-01,Chongqing,139,407.22350265933653
2024-11-01,Chongqing,141,359.0851589459881
2024-11-01,Chongqing,142,309.3754458539892
2024-11-01,Chongqing,144,142.0129086600458
2024-11-01,Chongqing,145,111.10661772111972
2024-11-01,Chongqing,147,262.50327776815845
2024-11-01,Chongqing,148,355.97219301201375
2024-11-01,Chongqing,149,369.3705770615088
2024-11-01,Chongqing,15,361.79183893644023
2024-11-01,Chongqing,150,112.86634685922971
2024-11-01,Chongqing,152,136.6364990492797
2024-11-01,Chongqing,153,387.1338661996346
2024-11-01,Chongqing,154,283.79361432637177
2024-11-01,Chongqing,155,434.83344309887667
2024-11-01,Chongqing,157,233.08099125918082
2024-11-01,Chongqing,158,362.8322946106276
2024-11-01,Chongqing,159,160.46457256948128
2024-11-01,Chongqing,160,435.3307495573701
2024-11-01,Chongqing,163,196.71215736224522
2024-11-01,Chongqing,166,408.66950570514626
2024-11-01,Chongqing,24,358.1783559295174
