ds,city,region_id,predicted_demand
2024-10-28,Chongqing,10,468.7656911091492
2024-11-04,Chongqing,10,1644.5473028210865
2024-11-11,Chongqing,10,2426.793326289522
2024-11-18,Chongqing,10,2632.979285229007
2024-11-25,Chongqing,10,1393.4204689693474
2024-10-28,Chongqing,103,730.0142132496637
2024-11-04,Chongqing,103,2357.667250236661
2024-11-11,Chongqing,103,2741.2839169995614
2024-11-18,Chongqing,103,2738.694781755524
2024-11-25,Chongqing,103,1373.2684825963665
2024-10-28,Chongqing,104,917.9489874513413
2024-11-04,Chongqing,104,2865.80754343071
2024-11-11,Chongqing,104,3219.9029161335834
2024-11-18,Chongqing,104,2924.7083372556745
2024-11-25,Chongqing,104,1509.9010351527957
2024-10-28,Chongqing,105,1208.5137858693813
2024-11-04,Chongqing,105,3335.510341713002
2024-11-11,Chongqing,105,3208.986387002521
2024-11-18,Chongqing,105,3308.7295998600175
2024-11-25,Chongqing,105,1769.488021529829
2024-10-28,Chongqing,106,295.29762033646426
2024-11-04,Chongqing,106,1220.8672473288495
2024-11-11,Chongqing,106,1787.5034522947271
2024-11-18,Chongqing,106,1921.2458670346766
2024-11-25,Chongqing,106,1064.061747312315
2024-10-28,Chongqing,107,1162.8513252491055
2024-11-04,Chongqing,107,3190.896885562891
2024-11-11,Chongqing,107,3118.914385533335
2024-11-18,Chongqing,107,3249.3550591384073
2024-11-25,Chongqing,107,1741.355501677539
2024-10-28,Chongqing,109,679.9712528656687
2024-11-04,Chongqing,109,2073.241426059235
2024-11-11,Chongqing,109,2678.7761241673293
2024-11-18,Chongqing,109,2732.769023134605
2024-11-25,Chongqing,109,1418.6820690584575
2024-10-28,Chongqing,11,284.3283781484376
2024-11-04,Chongqing,11,1183.3131710919363
2024-11-11,Chongqing,11,1797.3737061166728
2024-11-18,Chongqing,11,1915.36289442645
2024-11-25,Chongqing,11,1065.5314917201576
2024-10-28,Chongqing,110,1279.3154452993315
2024-11-04,Chongqing,110,3389.7936023923176
2024-11-11,Chongqing,110,3220.6866009306236
2024-11-18,Chongqing,110,3313.139671301257
2024-11-25,Chongqing,110,1791.8667780015287
2024-10-28,Chongqing,112,913.1046911998012
2024-11-04,Chongqing,112,2888.4774205027834
2024-11-11,Chongqing,112,3207.065169428378
2024-11-18,Chongqing,112,2999.834655146658
2024-11-25,Chongqing,112,1567.9524943901242
2024-10-28,Chongqing,116,353.85293486992157
2024-11-04,Chongqing,116,1211.2958644411012
2024-11-11,Chongqing,116,1753.5778664332247
2024-11-18,Chongqing,116,1879.677972921541
2024-11-25,Chongqing,116,1044.8624999701192
2024-10-28,Chongqing,123,1543.054404484004
2024-11-04,Chongqing,123,3927.5340110656507
2024-11-11,Chongqing,123,4123.242336516917
2024-11-18,Chongqing,123,4168.3880480379685
2024-11-25,Chongqing,123,2305.909652422112
2024-10-28,Chongqing,125,543.8727670231493
2024-11-04,Chongqing,125,1841.364290613453
2024-11-11,Chongqing,125,2542.7924904974566
2024-11-18,Chongqing,125,2684.3806343323063
2024-11-25,Chongqing,125,1416.604909028662
2024-10-28,Chongqing,127,966.5259968233868
2024-11-04,Chongqing,127,3007.269017794442
2024-11-11,Chongqing,127,3166.6110671251777
2024-11-18,Chongqing,127,3048.0712516219155
2024-11-25,Chongqing,127,1699.6043803039174
2024-10-28,Chongqing,130,748.0267295657659
2024-11-04,Chongqing,130,2264.3304366234374
2024-11-11,Chongqing,130,2760.304559621489
2024-11-18,Chongqing,130,2906.3031041540103
2024-11-25,Chongqing,130,1533.6634283912842
2024-10-28,Chongqing,131,979.3682125336691
2024-11-04,Chongqing,131,2909.7422082846315
2024-11-11,Chongqing,131,3206.1488075635207
2024-11-18,Chongqing,131,3017.984104006918
2024-11-25,Chongqing,131,1641.8802738675895
2024-10-28,Chongqing,132,1201.6064978598329
2024-11-04,Chongqing,132,3336.957952112919
2024-11-11,Chongqing,132,3452.077847059094
2024-11-18,Chongqing,132,3295.678214370038
2024-11-25,Chongqing,132,1807.1211513705434
2024-10-28,Chongqing,133,1293.0490814594427
2024-11-04,Chongqing,133,3354.678852906855
2024-11-11,Chongqing,133,3155.550487298889
2024-11-18,Chongqing,133,3354.964978230195
2024-11-25,Chongqing,133,1779.2648720077711
2024-10-28,Chongqing,134,250.4585317102751
2024-11-04,Chongqing,134,993.7360117430351
2024-11-11,Chongqing,134,1708.2689379872513
2024-11-18,Chongqing,134,1896.6580711059119
2024-11-25,Chongqing,134,1022.3155543064125
2024-10-28,Chongqing,135,461.6768551914979
2024-11-04,Chongqing,135,1634.506217877948
2024-11-11,Chongqing,135,2426.861141189903
2024-11-18,Chongqing,135,2624.6925893522202
2024-11-25,Chongqing,135,1381.4216336036184
2024-10-28,Chongqing,136,402.7059063698635
2024-11-04,Chongqing,136,1467.4493897331113
2024-11-11,Chongqing,136,2065.230479904037
2024-11-18,Chongqing,136,2101.4564520263743
2024-11-25,Chongqing,136,1145.3539377434217
2024-10-28,Chongqing,138,516.0170781362498
2024-11-04,Chongqing,138,1774.234276075983
2024-11-11,Chongqing,138,2454.1974551614476
2024-11-18,Chongqing,138,2677.1392211370116
2024-11-25,Chongqing,138,1409.10140054986
2024-10-28,Chongqing,139,1320.1580845535277
2024-11-04,Chongqing,139,3575.989852237369
2024-11-11,Chongqing,139,3479.740902403703
2024-11-18,Chongqing,139,3395.2770593960036
2024-11-25,Chongqing,139,1827.54544086533
2024-10-28,Chongqing,141,1209.1213479229168
2024-11-04,Chongqing,141,3471.407946737051
2024-11-11,Chongqing,141,3417.172970241542
2024-11-18,Chongqing,141,3328.6518451905663
2024-11-25,Chongqing,141,1830.9176498532775
2024-10-28,Chongqing,142,1023.0217209415937
2024-11-04,Chongqing,142,2965.2653953965155
2024-11-11,Chongqing,142,3164.6075278251674
2024-11-18,Chongqing,142,2981.1093843300414
